,Braddock_16.fastq,Braddock_17.fastq,Braddock_18.fastq,Braddock_19.fastq,Braddock_20.fastq,NevilleIsland_1.fastq,NevilleIsland_3.fastq,NevilleIsland_4.fastq,NevilleIsland_5.fastq,PointAll_23.fastq,PointAll_25.fastq,PointMon_6.fastq,PointMon_7.fastq,PointMon_8.fastq,Sharpsburg_11.fastq,Sharpsburg_12.fastq,Sharpsburg_13.fastq,Sharpsburg_14.fastq,unclassified_0.fastq,
Braddock_16.fastq,0,0.07499999999999996,0.133,0.08099999999999996,0.118,0.6699999999999999,0.503,0.264,0.07499999999999996,0.10499999999999998,0.126,0.21599999999999997,0.17800000000000005,0.132,0.17600000000000005,0.27,0.23399999999999999,0.28400000000000003,0.136,
Braddock_17.fastq,0.07499999999999996,0,0.09299999999999997,0.09699999999999998,0.11199999999999999,0.679,0.509,0.273,0.08899999999999997,0.118,0.14100000000000001,0.22399999999999998,0.15800000000000003,0.13,0.15400000000000003,0.269,0.23399999999999999,0.278,0.17500000000000004,
Braddock_18.fastq,0.133,0.09299999999999997,0,0.137,0.06799999999999995,0.752,0.577,0.31299999999999994,0.128,0.17900000000000005,0.18999999999999995,0.262,0.09799999999999998,0.12,0.18500000000000005,0.241,0.20199999999999996,0.23299999999999998,0.19699999999999995,
Braddock_19.fastq,0.08099999999999996,0.09699999999999998,0.137,0,0.118,0.687,0.531,0.30300000000000005,0.049000000000000044,0.07899999999999996,0.09199999999999997,0.262,0.16600000000000004,0.10699999999999998,0.19199999999999995,0.22699999999999998,0.20899999999999996,0.258,0.14200000000000002,
Braddock_20.fastq,0.118,0.11199999999999999,0.06799999999999995,0.118,0,0.767,0.5920000000000001,0.33099999999999996,0.10999999999999999,0.16600000000000004,0.17600000000000005,0.29000000000000004,0.10599999999999998,0.11699999999999999,0.20899999999999996,0.22299999999999998,0.18100000000000005,0.21899999999999997,0.18500000000000005,
NevilleIsland_1.fastq,0.6699999999999999,0.679,0.752,0.687,0.767,0,0.19599999999999995,0.495,0.681,0.656,0.651,0.52,0.779,0.731,0.677,0.877,0.863,0.907,0.7110000000000001,
NevilleIsland_3.fastq,0.503,0.509,0.577,0.531,0.5920000000000001,0.19599999999999995,0,0.30700000000000005,0.514,0.517,0.516,0.33599999999999997,0.597,0.5569999999999999,0.496,0.72,0.692,0.742,0.5429999999999999,
NevilleIsland_4.fastq,0.264,0.273,0.31299999999999994,0.30300000000000005,0.33099999999999996,0.495,0.30700000000000005,0,0.29200000000000004,0.29200000000000004,0.30000000000000004,0.11699999999999999,0.33499999999999996,0.33499999999999996,0.257,0.494,0.45499999999999996,0.5,0.31899999999999995,
NevilleIsland_5.fastq,0.07499999999999996,0.08899999999999997,0.128,0.049000000000000044,0.10999999999999999,0.681,0.514,0.29200000000000004,0,0.09799999999999998,0.10199999999999998,0.245,0.15100000000000002,0.09799999999999998,0.18000000000000005,0.23199999999999998,0.20099999999999996,0.242,0.138,
PointAll_23.fastq,0.10499999999999998,0.118,0.17900000000000005,0.07899999999999996,0.16600000000000004,0.656,0.517,0.29200000000000004,0.09799999999999998,0,0.07299999999999995,0.255,0.17600000000000005,0.122,0.18000000000000005,0.243,0.21999999999999997,0.271,0.19699999999999995,
PointAll_25.fastq,0.126,0.14100000000000001,0.18999999999999995,0.09199999999999997,0.17600000000000005,0.651,0.516,0.30000000000000004,0.10199999999999998,0.07299999999999995,0,0.256,0.19599999999999995,0.134,0.18200000000000005,0.245,0.22799999999999998,0.275,0.16500000000000004,
PointMon_6.fastq,0.21599999999999997,0.22399999999999998,0.262,0.262,0.29000000000000004,0.52,0.33599999999999997,0.11699999999999999,0.245,0.255,0.256,0,0.28900000000000003,0.266,0.22499999999999998,0.44499999999999995,0.41700000000000004,0.45799999999999996,0.30200000000000005,
PointMon_7.fastq,0.17800000000000005,0.15800000000000003,0.09799999999999998,0.16600000000000004,0.10599999999999998,0.779,0.597,0.33499999999999996,0.15100000000000002,0.17600000000000005,0.19599999999999995,0.28900000000000003,0,0.10599999999999998,0.19099999999999995,0.22899999999999998,0.18899999999999995,0.22599999999999998,0.21399999999999997,
PointMon_8.fastq,0.132,0.13,0.12,0.10699999999999998,0.11699999999999999,0.731,0.5569999999999999,0.33499999999999996,0.09799999999999998,0.122,0.134,0.266,0.10599999999999998,0,0.19799999999999995,0.22699999999999998,0.20699999999999996,0.24,0.15600000000000003,
Sharpsburg_11.fastq,0.17600000000000005,0.15400000000000003,0.18500000000000005,0.19199999999999995,0.20899999999999996,0.677,0.496,0.257,0.18000000000000005,0.18000000000000005,0.18200000000000005,0.22499999999999998,0.19099999999999995,0.19799999999999995,0,0.356,0.31599999999999995,0.365,0.22999999999999998,
Sharpsburg_12.fastq,0.27,0.269,0.241,0.22699999999999998,0.22299999999999998,0.877,0.72,0.494,0.23199999999999998,0.243,0.245,0.44499999999999995,0.22899999999999998,0.22699999999999998,0.356,0,0.07199999999999995,0.124,0.278,
Sharpsburg_13.fastq,0.23399999999999999,0.23399999999999999,0.20199999999999996,0.20899999999999996,0.18100000000000005,0.863,0.692,0.45499999999999996,0.20099999999999996,0.21999999999999997,0.22799999999999998,0.41700000000000004,0.18899999999999995,0.20699999999999996,0.31599999999999995,0.07199999999999995,0,0.122,0.251,
Sharpsburg_14.fastq,0.28400000000000003,0.278,0.23299999999999998,0.258,0.21899999999999997,0.907,0.742,0.5,0.242,0.271,0.275,0.45799999999999996,0.22599999999999998,0.24,0.365,0.124,0.122,0,0.30600000000000005,
unclassified_0.fastq,0.136,0.17500000000000004,0.19699999999999995,0.14200000000000002,0.18500000000000005,0.7110000000000001,0.5429999999999999,0.31899999999999995,0.138,0.19699999999999995,0.16500000000000004,0.30200000000000005,0.21399999999999997,0.15600000000000003,0.22999999999999998,0.278,0.251,0.30600000000000005,0,
