Sample,Richness
PointAll_21.fastq,25
Sharpsburg_14.fastq,63
PointMon_8.fastq,128
Sharpsburg_13.fastq,42
Control_26.fastq,1
PointMon_6.fastq,132
Sharpsburg_11.fastq,42
Sharpsburg_12.fastq,36
Control_28.fastq,5
NevilleIsland_3.fastq,46
Braddock_20.fastq,109
Control_30.fastq,1
NevilleIsland_5.fastq,66
PointMon_7.fastq,122
PointAll_25.fastq,34
NevilleIsland_4.fastq,102
PointMon_10.fastq,26
unclassified_0.fastq,58
Control_27.fastq,1
PointMon_9.fastq,8
PointAll_24.fastq,24
Braddock_18.fastq,94
Control_29.fastq,8
NevilleIsland_1.fastq,12
PointAll_23.fastq,32
PointAll_22.fastq,21
NevilleIsland_2.fastq,20
Braddock_17.fastq,115
Braddock_19.fastq,95
Braddock_16.fastq,120
