Sample,SimpsonsIndex
Spring_Monongahela_2,0.06253778120424705
Summer_Sharpsburg_1,0.04158165048975673
Winter_Allegheny_2,0.06409666124743855
Winter_Monongahela_3,0.07142878308120001
Winter_Braddock_3,0.05455068438801824
Winter_Sharpsburg_3,0.028445879362420167
Winter_Neville_1,0.04849511590383407
Summer_Braddock_2,0.0353760095018377
Winter_Braddock_1,0.05596847135038698
Winter_Monongahela_1,0.0366481909936278
Fall_Braddock_2,0.12689618594801197
Spring_Control_1,0.06222139331580369
Winter_Control_2,0.03326197452388604
Spring_Braddock_1,0.06989964975296069
Fall_Allegheny_1,0.04699830829440725
Summer_Sharpsburg_2,0.037897839081309316
Winter_Neville_3,0.05632805148857692
Fall_Neville_3,0.06793156478277589
Spring_Braddock_2,0.07083350753212687
Summer_Neville_2,0.06725441206646886
Fall_Neville_1,0.04049548829827701
Fall_Sharpsburg_3,0.04924601077494459
Fall_Braddock_1,0.11013071108650077
Winter_Allegheny_3,0.06452817220689973
Fall_Control_3,0.10370121150097221
Summer_Neville_1,0.03579527029018975
Fall_Monongahela_1,0.07357188708726665
Spring_Sharpsburg_1,0.03285730770327845
Fall_Braddock_3,0.059781058671991474
Fall_Allegheny_2,0.03644575428157984
Fall_Allegheny_3,0.04633919775779886
Summer_Allegheny_1,0.04111981523672795
Fall_Monongahela_3,0.09288365912208499
Fall_Control_1,0.04959262421807785
Fall_Control_2,0.07529424876440811
Fall_Sharpsburg_2,0.03172609418282549
Winter_Monongahela_2,0.04824324324324326
Winter_Sharpsburg_2,0.027999426286786103
Fall_Monongahela_2,0.08638497047660575
Fall_Sharpsburg_4,0.0397561946852242
Summer_Monongahela_1,0.03876682973088427
Winter_Braddock_2,0.06809112964320439
Fall_Neville_2,0.061379007516600796
Spring_Monongahela_1,0.030990405532279105
Spring_Neville_1,0.05440205326553903
Winter_Sharpsburg_1,0.03510427668965185
Fall_Sharpsburg_1,0.04269364231695689
Summer_Braddock_1,0.035827653168945255
Winter_Neville_2,0.060666299357208436
